epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,497.97,1.05196,0.69854,0.97236,0.89097,0.73815,0.82831,0.52747,1.03487,0.62285,0.97167,4.654e-05,4.654e-05,4.654e-05
29,515.007,1.09307,0.71371,0.96092,0.88145,0.74511,0.83245,0.5341,1.04185,0.63069,0.96954,4.456e-05,4.456e-05,4.456e-05
30,533.23,1.07071,0.6941,0.97084,0.87621,0.74147,0.83201,0.53444,1.03003,0.61385,0.97199,4.258e-05,4.258e-05,4.258e-05
31,550.585,1.02803,0.671,0.96107,0.87882,0.75526,0.83617,0.53286,1.04317,0.60997,0.97157,4.06e-05,4.06e-05,4.06e-05
32,567.702,1.0649,0.67699,0.96506,0.86976,0.75432,0.83026,0.53586,1.02648,0.6095,0.97091,3.862e-05,3.862e-05,3.862e-05
33,587.429,1.06036,0.67817,0.96552,0.84878,0.77077,0.83612,0.52576,1.04447,0.61527,0.97679,3.664e-05,3.664e-05,3.664e-05
34,604.151,1.06016,0.66785,0.96744,0.86853,0.75461,0.8339,0.53702,1.02369,0.61009,0.96572,3.466e-05,3.466e-05,3.466e-05
35,621.893,1.06549,0.67279,0.96569,0.88975,0.74426,0.83391,0.53553,1.02642,0.615,0.97069,3.268e-05,3.268e-05,3.268e-05
1,17.679,2.39797,4.0888,1.97793,0.00191,0.11187,0.00167,0.00046,2.27339,3.62281,2.14789,0.079021,2.1e-05,2.1e-05
2,37.8676,2.06327,3.847,1.74729,0.00218,0.1227,0.00171,0.0006,1.83925,3.49635,1.78004,0.0570421,4.21486e-05,4.21486e-05
3,55.371,1.79418,3.63803,1.55948,0.00473,0.2483,0.00398,0.00156,1.61872,4.30961,1.62527,0.0350624,6.2426e-05,6.2426e-05
4,75.15,1.65947,3.53121,1.48747,0.00648,0.40414,0.01772,0.00665,1.45512,4.15248,1.49259,0.0130818,8.18322e-05,8.18322e-05
5,94.2413,1.59075,3.33907,1.41737,0.00689,0.45223,0.14677,0.07053,1.35943,3.87526,1.41972,9.208e-05,9.208e-05,9.208e-05
6,113.083,1.48496,3.1217,1.34667,0.94591,0.05752,0.23404,0.12554,1.31467,3.48819,1.38117,9.01e-05,9.01e-05,9.01e-05
7,130.752,1.48122,2.76902,1.32203,0.8513,0.23566,0.28006,0.15879,1.31179,3.01157,1.37446,8.812e-05,8.812e-05,8.812e-05
8,148.541,1.43681,2.45578,1.33836,0.86793,0.25426,0.30084,0.17423,1.28127,2.70182,1.35297,8.614e-05,8.614e-05,8.614e-05
9,166.58,1.3934,2.31602,1.31502,0.90301,0.26091,0.31836,0.18826,1.25704,2.54968,1.34013,8.416e-05,8.416e-05,8.416e-05
10,184.459,1.35399,2.14365,1.27882,0.87014,0.3,0.335,0.19894,1.24292,2.42139,1.33683,8.218e-05,8.218e-05,8.218e-05
11,203.228,1.31639,2.10024,1.26257,0.88136,0.31085,0.34961,0.21178,1.21919,2.31326,1.31858,8.02e-05,8.02e-05,8.02e-05
12,220.878,1.33273,2.09554,1.27694,0.88228,0.31467,0.36185,0.22002,1.21093,2.22466,1.30348,7.822e-05,7.822e-05,7.822e-05
1,18.8481,1.97937,3.63232,1.54614,0.00215,0.17132,0.03409,0.00884,2.69344,4.00395,2.30286,0.079021,2.1e-05,2.1e-05
2,35.8249,1.53595,2.18902,1.17965,0.16069,0.15969,0.16266,0.06582,1.96869,3.88353,1.51062,0.0570421,4.21486e-05,4.21486e-05
3,54.961,1.48496,1.57332,1.1302,0.14281,0.64295,0.37172,0.22222,1.38118,3.24896,1.11706,0.0350624,6.2426e-05,6.2426e-05
4,72.1059,1.43144,1.43884,1.10782,0.75565,0.30049,0.44809,0.27882,1.29942,2.03099,1.05782,0.0130818,8.18322e-05,8.18322e-05
5,90.5167,1.38844,1.33311,1.08265,0.76877,0.42277,0.49917,0.31316,1.22111,1.40827,1.06494,9.208e-05,9.208e-05,9.208e-05
6,107.6,1.34062,1.23468,1.0429,0.66308,0.49678,0.55326,0.35091,1.17066,1.17955,1.03284,9.01e-05,9.01e-05,9.01e-05
7,125.817,1.37227,1.18088,1.04843,0.65601,0.57507,0.62808,0.38675,1.17247,1.02048,1.02574,8.812e-05,8.812e-05,8.812e-05
8,143.585,1.3233,1.11952,1.04596,0.6882,0.62018,0.64562,0.40771,1.11149,0.94719,1.00683,8.614e-05,8.614e-05,8.614e-05
9,160.584,1.29294,1.07111,1.03952,0.68528,0.66534,0.70633,0.43685,1.13461,0.88469,1.01531,8.416e-05,8.416e-05,8.416e-05
10,180.222,1.26385,0.99329,1.02137,0.79305,0.65155,0.73596,0.45875,1.13396,0.8511,1.00392,8.218e-05,8.218e-05,8.218e-05
11,197.417,1.2659,0.97315,1.01639,0.82483,0.65408,0.74931,0.46492,1.08144,0.82541,0.99223,8.02e-05,8.02e-05,8.02e-05
12,214.452,1.25211,0.96387,1.02521,0.85071,0.66217,0.76078,0.47094,1.1132,0.80757,0.9993,7.822e-05,7.822e-05,7.822e-05
13,232.839,1.26094,0.96146,1.01069,0.84871,0.65841,0.77216,0.48057,1.08705,0.78228,0.99139,7.624e-05,7.624e-05,7.624e-05
14,249.912,1.23476,0.9055,0.99989,0.8919,0.6508,0.78352,0.49202,1.07052,0.74125,0.97824,7.426e-05,7.426e-05,7.426e-05
15,267.55,1.20723,0.87313,0.99142,0.86614,0.65864,0.78499,0.4946,1.08306,0.73787,0.97727,7.228e-05,7.228e-05,7.228e-05
16,285.924,1.23441,0.90204,1.0077,0.79121,0.72715,0.78972,0.49954,1.06032,0.72221,0.97508,7.03e-05,7.03e-05,7.03e-05
17,302.739,1.1976,0.86164,1.00239,0.78634,0.76143,0.80508,0.50135,1.07931,0.69615,0.98163,6.832e-05,6.832e-05,6.832e-05
18,321.412,1.22216,0.86757,0.99018,0.80027,0.73676,0.79746,0.49156,1.05626,0.6995,0.97357,6.634e-05,6.634e-05,6.634e-05
19,338.541,1.20094,0.84104,0.98311,0.86768,0.69078,0.80337,0.50549,1.06477,0.6801,0.96862,6.436e-05,6.436e-05,6.436e-05
20,357.029,1.2135,0.85809,0.99918,0.81759,0.73966,0.8046,0.50751,1.06071,0.67666,0.97125,6.238e-05,6.238e-05,6.238e-05
21,374.942,1.20192,0.82852,0.99473,0.83746,0.72728,0.80701,0.50772,1.06728,0.68323,0.97102,6.04e-05,6.04e-05,6.04e-05
22,391.929,1.18218,0.81329,0.99174,0.8441,0.74675,0.80681,0.51381,1.04453,0.67882,0.96801,5.842e-05,5.842e-05,5.842e-05
23,409.264,1.19193,0.82497,0.99102,0.82989,0.71336,0.80296,0.5018,1.0649,0.69063,0.96646,5.644e-05,5.644e-05,5.644e-05
24,427.159,1.17903,0.81611,0.97615,0.80751,0.74981,0.8128,0.50947,1.07271,0.67162,0.9697,5.446e-05,5.446e-05,5.446e-05
25,444.424,1.16769,0.79915,0.97838,0.79435,0.77193,0.81099,0.51417,1.04417,0.65836,0.9611,5.248e-05,5.248e-05,5.248e-05
26,461.224,1.16744,0.78301,0.97906,0.80416,0.77165,0.80538,0.5099,1.05273,0.66536,0.96546,5.05e-05,5.05e-05,5.05e-05
27,479.682,1.17177,0.79149,0.98187,0.8075,0.75516,0.81243,0.5193,1.04901,0.65654,0.95773,4.852e-05,4.852e-05,4.852e-05
28,496.551,1.15219,0.79184,0.9843,0.84266,0.76386,0.82315,0.52887,1.04248,0.64392,0.95686,4.654e-05,4.654e-05,4.654e-05
29,514.518,1.20578,0.79643,0.97407,0.84473,0.76412,0.8192,0.52288,1.01807,0.63529,0.94649,4.456e-05,4.456e-05,4.456e-05
30,532.521,1.16586,0.77333,0.9865,0.84383,0.73881,0.81159,0.52301,1.02578,0.63668,0.95406,4.258e-05,4.258e-05,4.258e-05
31,550.001,1.14058,0.75853,0.97515,0.82564,0.75533,0.80863,0.5172,1.05248,0.63918,0.95929,4.06e-05,4.06e-05,4.06e-05
32,568.204,1.16432,0.76571,0.98098,0.81771,0.77114,0.8158,0.5265,1.02212,0.63319,0.94986,3.862e-05,3.862e-05,3.862e-05
33,586.267,1.14125,0.75101,0.9784,0.84709,0.75355,0.82022,0.52603,1.03674,0.63629,0.9526,3.664e-05,3.664e-05,3.664e-05
34,607.581,1.13433,0.74161,0.97296,0.85008,0.75368,0.82474,0.53164,1.02513,0.62766,0.94913,3.466e-05,3.466e-05,3.466e-05
35,624.541,1.16338,0.74674,0.97246,0.82626,0.75665,0.82054,0.53057,1.02608,0.63069,0.95421,3.268e-05,3.268e-05,3.268e-05
36,642.534,1.16492,0.76389,0.96027,0.87072,0.74201,0.82148,0.52337,1.04052,0.62289,0.94888,3.07e-05,3.07e-05,3.07e-05
37,659.698,1.14923,0.75192,0.97524,0.86274,0.74913,0.82045,0.53018,1.01811,0.6141,0.94395,2.872e-05,2.872e-05,2.872e-05
38,676.801,1.13297,0.74362,0.97167,0.82861,0.77231,0.82288,0.53053,1.02039,0.6143,0.94499,2.674e-05,2.674e-05,2.674e-05
39,695.469,1.14368,0.75011,0.97485,0.86341,0.75222,0.82333,0.53343,1.01746,0.61548,0.94536,2.476e-05,2.476e-05,2.476e-05
